x;p1;p2;p3;p4
0;4.66773e-006;7.05221e-006;3.37814e-006;8.82306e-006
0.005;2.55718e-006;4.54561e-006;8.40083e-006;1.18881e-005
0.01;-3.07136e-006;-2.33759e-006;1.31144e-005;1.4893e-005
0.015;-1.28439e-005;-9.78127e-006;1.72531e-005;1.78245e-005
0.02;6.71239e-006;-1.28331e-005;2.05813e-005;2.06693e-005
0.025;2.72246e-005;-8.47413e-006;2.29094e-005;2.34148e-005
0.03;-2.17084e-005;2.01303e-006;2.41068e-005;2.60487e-005
0.035;-2.54457e-005;1.30463e-005;2.41102e-005;2.85591e-005
0.04;2.42678e-005;1.79099e-005;2.29281e-005;3.0935e-005
0.045;1.28396e-005;1.35811e-005;2.06399e-005;3.31658e-005
0.05;-2.07188e-006;3.38405e-006;1.73899e-005;3.52418e-005
0.055;-9.40252e-006;-5.49181e-006;1.33769e-005;3.71542e-005
0.06;-2.16631e-005;-7.90847e-006;8.8403e-006;3.88948e-005
0.065;1.3272e-005;-4.62696e-006;4.04344e-006;4.04567e-005
0.07;1.4587e-005;-4.81811e-007;-7.44274e-007;4.18337e-005
0.075;2.11632e-005;6.98044e-007;-5.26517e-006;4.30206e-005
0.08;-3.26742e-005;-1.19256e-006;-9.28966e-006;4.40135e-005
0.085;-2.53169e-005;-4.3094e-006;-1.26298e-005;4.48093e-005
0.09;2.5591e-005;-7.58782e-006;-1.51494e-005;4.54062e-005
0.095;1.85679e-005;-1.04111e-005;-1.67696e-005;4.58034e-005
0.1;8.72743e-007;-1.04012e-005;-1.74704e-005;4.60012e-005
0.105;-1.15655e-005;-4.0099e-006;-1.7287e-005;4.60012e-005
0.11;-2.72704e-005;8.93112e-006;-1.63033e-005;4.58059e-005
0.115;1.31195e-005;2.18028e-005;-1.46413e-005;4.54189e-005
0.12;2.12173e-005;2.4478e-005;-1.24492e-005;4.48449e-005
0.125;1.98392e-006;1.18763e-005;-9.88822e-006;4.40897e-005
0.13;-4.65689e-006;-1.0153e-005;-7.11984e-006;4.316e-005
0.135;-2.20543e-005;-2.78393e-005;-4.2945e-006;4.20634e-005
0.14;-6.43305e-006;-2.92418e-005;-1.54241e-006;4.08085e-005
